Version;SupportBegin;SupportEnd
4.2.71;2026-04-22T00:00:00;2027-07-22T00:00:00
4.2.72;2026-04-22T00:00:00;2027-07-22T00:00:00
4.2.73;2026-04-24T00:00:00;2027-07-24T00:00:00
4.2.74;2026-04-27T00:00:00;2027-07-27T00:00:00
4.2.75;2026-05-02T00:00:00;2027-08-01T00:00:00
4.2.76;2026-05-02T00:00:00;2027-08-01T00:00:00
4.2.77;2026-05-05T00:00:00;2027-08-04T00:00:00
4.2.78;2026-05-08T00:00:00;2027-08-07T00:00:00
4.2.79;2026-05-09T00:00:00;2027-08-08T00:00:00
4.2.80;2026-05-09T00:00:00;2027-08-08T00:00:00
4.2.81;2026-05-11T00:00:00;2027-08-10T00:00:00
4.2.82;2026-05-15T00:00:00;2027-08-14T00:00:00
4.2.83;2026-05-15T00:00:00;2027-08-14T00:00:00
4.2.84;2026-05-18T00:00:00;2027-08-17T00:00:00
4.2.85;2026-05-18T00:00:00;2027-08-17T00:00:00
4.2.86;2026-05-18T00:00:00;2027-08-17T00:00:00
4.2.87;2026-05-23T00:00:00;2027-08-22T00:00:00
4.2.88;2026-05-23T00:00:00;2027-08-22T00:00:00
4.2.89;2026-05-25T00:00:00;2027-08-24T00:00:00
4.2.90;2026-05-30T00:00:00;2027-08-29T00:00:00
